pid,name,cpu,memoryInfo,date
4676,dllhost.exe,0.0,10.97265625,2025-07-24 15:51:28
4756,svchost.exe,0.0,5.515625,2025-07-24 15:51:28
4772,svchost.exe,0.0,6.390625,2025-07-24 15:51:28
4780,svchost.exe,0.0,30.12890625,2025-07-24 15:51:28
4788,Lavasoft.WCAssistant.WinService.exe,0.0,31.2734375,2025-07-24 15:51:28
4796,svchost.exe,0.0,6.96875,2025-07-24 15:51:28
4812,svchost.exe,0.0,8.75,2025-07-24 15:51:28
4832,LMIGuardianSvc.exe,0.0,7.1640625,2025-07-24 15:51:28
4840,svchost.exe,0.0,19.08203125,2025-07-24 15:51:28
4848,nvcontainer.exe,0.0,19.05859375,2025-07-24 15:51:28
4856,DCIService.exe,0.0,4.828125,2025-07-24 15:51:29
4864,svchost.exe,0.0,5.19140625,2025-07-24 15:51:29
4888,hamachi-2.exe,0.0,15.7109375,2025-07-24 15:51:29
4900,jhi_service.exe,0.0,5.41796875,2025-07-24 15:51:29
4920,sqlwriter.exe,0.0,6.828125,2025-07-24 15:51:29
4928,servicehost.exe,0.0,26.17578125,2025-07-24 15:51:29
4936,OfficeClickToRun.exe,0.0,28.625,2025-07-24 15:51:29
4944,WMIRegistrationService.exe,0.0,11.6640625,2025-07-24 15:51:29
4952,svchost.exe,0.0,35.99609375,2025-07-24 15:51:29
4960,wslservice.exe,0.0,17.921875,2025-07-24 15:51:29
4968,MsMpEng.exe,0.11666666666666665,345.21875,2025-07-24 15:51:29
4976,svchost.exe,0.0,5.8828125,2025-07-24 15:51:29
4984,svchost.exe,0.0,7.421875,2025-07-24 15:51:29
4992,WindscribeService.exe,0.0,10.4140625,2025-07-24 15:51:29
5004,TeamViewer_Service.exe,0.0,13.734375,2025-07-24 15:51:29
5012,CCleanerPerformanceOptimizerService.exe,0.0,25.6171875,2025-07-24 15:51:29
5032,MemuService.exe,0.0,5.16796875,2025-07-24 15:51:29
5064,chrome.exe,0.0,764.58984375,2025-07-24 15:51:29
5080,svchost.exe,0.0,12.94921875,2025-07-24 15:51:29
5304,chrome.exe,0.0,38.58984375,2025-07-24 15:51:29
5388,svchost.exe,0.0,6.37890625,2025-07-24 15:51:29
5412,svchost.exe,0.0,8.15625,2025-07-24 15:51:29
5436,MpDefenderCoreService.exe,0.0,17.14453125,2025-07-24 15:51:29
5488,CalculatorApp.exe,0.0,1.515625,2025-07-24 15:51:29
5604,sqlceip.exe,0.0,45.203125,2025-07-24 15:51:29
5616,sqlservr.exe,0.0,116.87890625,2025-07-24 15:51:29
5624,sqlservr.exe,0.7083333333333334,106.95703125,2025-07-24 15:51:29
5648,sqlceip.exe,0.0,43.609375,2025-07-24 15:51:29
5660,chrome.exe,0.0,68.27734375,2025-07-24 15:51:29
5804,svchost.exe,0.0,5.15625,2025-07-24 15:51:29
5960,dasHost.exe,0.0,8.26953125,2025-07-24 15:51:29
6076,svchost.exe,0.0,6.30859375,2025-07-24 15:51:29
6100,svchost.exe,0.0,6.5,2025-07-24 15:51:29
6124,chrome.exe,0.0,393.21875,2025-07-24 15:51:29
6212,IriunWebcam.exe,0.0,114.82421875,2025-07-24 15:51:29
6516,svchost.exe,0.0,10.671875,2025-07-24 15:51:29
6608,pgAdmin4.exe,0.0,420.4375,2025-07-24 15:51:29
6776,chrome.exe,0.0,136.44140625,2025-07-24 15:51:29
6820,chrome.exe,0.0,127.1484375,2025-07-24 15:51:29
6876,SearchIndexer.exe,0.0,78.12890625,2025-07-24 15:51:29
7056,ctfmon.exe,0.0,20.98828125,2025-07-24 15:51:29
7424,Video.UI.exe,0.0,1.51953125,2025-07-24 15:51:29
7468,SecurityHealthService.exe,0.0,12.6640625,2025-07-24 15:51:29
7648,RuntimeBroker.exe,0.0,27.01953125,2025-07-24 15:51:29
7720,svchost.exe,0.0,14.58203125,2025-07-24 15:51:29
7848,svchost.exe,0.0,7.3984375,2025-07-24 15:51:29
7868,svchost.exe,0.0,6.546875,2025-07-24 15:51:29
8012,dasHost.exe,0.0,4.00390625,2025-07-24 15:51:29
8196,pgAdmin4.exe,0.0,49.08984375,2025-07-24 15:51:29
8312,postgres.exe,0.0,12.8125,2025-07-24 15:51:29
8376,msedge.exe,0.0,63.6328125,2025-07-24 15:51:29
8640,svchost.exe,0.0,7.4375,2025-07-24 15:51:29
8772,chrome.exe,0.0,571.30859375,2025-07-24 15:51:29
8812,postgres.exe,0.0,8.4453125,2025-07-24 15:51:29
9000,AggregatorHost.exe,0.0,8.58203125,2025-07-24 15:51:29
9020,chrome.exe,0.0,128.01953125,2025-07-24 15:51:29
9060,svchost.exe,0.0,10.5,2025-07-24 15:51:29
9124,chrome.exe,0.0,236.4453125,2025-07-24 15:51:29
9172,NisSrv.exe,0.0,18.54296875,2025-07-24 15:51:29
9340,chrome.exe,0.0,258.5390625,2025-07-24 15:51:29
9344,uihost.exe,0.18333333333333335,19.94140625,2025-07-24 15:51:29
9536,nvcontainer.exe,0.0,25.99609375,2025-07-24 15:51:29
9572,sihost.exe,0.0,30.1171875,2025-07-24 15:51:29
9620,svchost.exe,0.0,28.0,2025-07-24 15:51:29
9660,svchost.exe,0.0,40.69921875,2025-07-24 15:51:29
9720,SecurityHealthSystray.exe,0.0,8.96484375,2025-07-24 15:51:29
9752,dllhost.exe,0.0,7.1328125,2025-07-24 15:51:29
9808,postgres.exe,0.0,9.19140625,2025-07-24 15:51:29
9820,postgres.exe,0.0,14.65234375,2025-07-24 15:51:29
9844,svchost.exe,0.0,16.5078125,2025-07-24 15:51:29
9856,pg_ctl.exe,0.0,5.87109375,2025-07-24 15:51:29
9972,svchost.exe,0.0,9.9375,2025-07-24 15:51:29
10096,chrome.exe,0.0,129.9375,2025-07-24 15:51:29
10112,explorer.exe,0.4916666666666667,173.609375,2025-07-24 15:51:29
10144,taskhostw.exe,0.0,17.6484375,2025-07-24 15:51:29
10160,pycharm64.exe,0.6749999999999999,2065.3203125,2025-07-24 15:51:29
10272,steamwebhelper.exe,0.0,10.96875,2025-07-24 15:51:29
10320,Discord.exe,0.0,31.671875,2025-07-24 15:51:29
10360,svchost.exe,0.0,16.47265625,2025-07-24 15:51:29
10372,SearchApp.exe,0.0,62.83203125,2025-07-24 15:51:29
10412,chrome.exe,0.0,267.34765625,2025-07-24 15:51:29
10576,svchost.exe,0.0,7.36328125,2025-07-24 15:51:29
10640,chrome.exe,0.0,124.6875,2025-07-24 15:51:29
10672,chrome.exe,0.0,216.15625,2025-07-24 15:51:29
10692,svchost.exe,0.0,8.484375,2025-07-24 15:51:29
10704,chrome.exe,0.0,194.31640625,2025-07-24 15:51:29
10716,steamwebhelper.exe,0.05833333333333333,107.5390625,2025-07-24 15:51:29
10788,svchost.exe,0.0,19.30078125,2025-07-24 15:51:29
10792,msedgewebview2.exe,0.0,74.70703125,2025-07-24 15:51:29
11048,svchost.exe,0.0,10.89453125,2025-07-24 15:51:29
11056,svchost.exe,0.0,14.30859375,2025-07-24 15:51:29
11096,dllhost.exe,0.0,11.81640625,2025-07-24 15:51:29
11348,RuntimeBroker.exe,0.0,7.03515625,2025-07-24 15:51:29
11384,chrome.exe,0.0,190.15625,2025-07-24 15:51:29
11492,NVIDIA Web Helper.exe,0.0,4.875,2025-07-24 15:51:29
11500,conhost.exe,0.0,1.06640625,2025-07-24 15:51:29
11624,svchost.exe,0.0,36.08203125,2025-07-24 15:51:29
11656,python.exe,0.0,3.375,2025-07-24 15:51:29
11812,SteamService.exe,0.0,13.28125,2025-07-24 15:51:29
11912,StartMenuExperienceHost.exe,0.0,64.48828125,2025-07-24 15:51:29
12008,Discord.exe,0.3666666666666667,122.6640625,2025-07-24 15:51:29
12164,chrome.exe,0.0,289.4921875,2025-07-24 15:51:29
12168,RuntimeBroker.exe,0.0,26.6015625,2025-07-24 15:51:29
12204,svchost.exe,0.0,10.3125,2025-07-24 15:51:29
12312,SearchApp.exe,0.0,98.7421875,2025-07-24 15:51:29
12348,msedgewebview2.exe,0.0,6.58203125,2025-07-24 15:51:29
12436,chrome.exe,0.05833333333333333,233.3515625,2025-07-24 15:51:29
12600,RuntimeBroker.exe,0.0,39.71875,2025-07-24 15:51:29
12648,python.exe,4.291666666666667,22.9609375,2025-07-24 15:51:29
12684,chrome.exe,0.0,135.640625,2025-07-24 15:51:29
13012,chrome.exe,0.0,101.77734375,2025-07-24 15:51:29
13184,LockApp.exe,0.0,51.12890625,2025-07-24 15:51:29
13392,PresentationFontCache.exe,0.0,18.22265625,2025-07-24 15:51:29
13416,ShellExperienceHost.exe,0.0,55.4296875,2025-07-24 15:51:29
13524,DiscordPTB.exe,0.0,107.63671875,2025-07-24 15:51:29
13568,svchost.exe,0.0,14.53515625,2025-07-24 15:51:29
13736,postgres.exe,0.0,10.46875,2025-07-24 15:51:29
13984,steam.exe,0.0,54.16796875,2025-07-24 15:51:29
14012,postgres.exe,0.0,19.1484375,2025-07-24 15:51:29
14136,powershell.exe,0.0,63.48828125,2025-07-24 15:51:29
14236,conhost.exe,0.0,6.51171875,2025-07-24 15:51:29
14288,Discord.exe,0.0,105.81640625,2025-07-24 15:51:29
14348,msedge.exe,0.0,24.11328125,2025-07-24 15:51:29
14520,chrome.exe,0.0,157.5234375,2025-07-24 15:51:29
14528,postgres.exe,0.0,9.42578125,2025-07-24 15:51:29
14700,chrome.exe,0.0,132.61328125,2025-07-24 15:51:29
14828,OneDrive.exe,0.0,114.10546875,2025-07-24 15:51:29
14852,chrome.exe,0.0,155.03125,2025-07-24 15:51:29
14860,postgres.exe,0.0,15.578125,2025-07-24 15:51:29
14924,chrome.exe,0.0,93.8125,2025-07-24 15:51:29
15356,TextInputHost.exe,0.0,44.0625,2025-07-24 15:51:29
15496,steamwebhelper.exe,0.0,23.87109375,2025-07-24 15:51:29
15568,chrome.exe,0.0,71.66015625,2025-07-24 15:51:29
15688,DiscordPTB.exe,0.0,90.96875,2025-07-24 15:51:29
15720,DiscordPTB.exe,0.0,52.29296875,2025-07-24 15:51:29
16016,msedgewebview2.exe,0.0,32.1484375,2025-07-24 15:51:29
16096,chrome.exe,0.0,387.94921875,2025-07-24 15:51:29
16108,CompPkgSrv.exe,0.0,8.10546875,2025-07-24 15:51:29
16440,Copilot.exe,0.0,77.19140625,2025-07-24 15:51:29
16708,steamwebhelper.exe,0.0,16.52734375,2025-07-24 15:51:29
16952,steamwebhelper.exe,0.0,122.67578125,2025-07-24 15:51:29
17212,FileWatcher.exe,0.0,37.12109375,2025-07-24 15:51:29
17400,browser_assistant.exe,0.0,9.828125,2025-07-24 15:51:29
17532,postgres.exe,0.0,15.515625,2025-07-24 15:51:29
17564,DiscordPTB.exe,0.375,337.3359375,2025-07-24 15:51:29
17572,hamachi-2-ui.exe,0.0,14.7578125,2025-07-24 15:51:29
17616,RuntimeBroker.exe,0.0,9.734375,2025-07-24 15:51:29
17644,chrome.exe,0.0,9.109375,2025-07-24 15:51:29
17648,chrome.exe,0.0,128.55859375,2025-07-24 15:51:29
17740,chrome.exe,0.0,126.96484375,2025-07-24 15:51:29
17900,msedgewebview2.exe,0.0,16.81640625,2025-07-24 15:51:29
17904,chrome.exe,0.0,61.6484375,2025-07-24 15:51:29
17936,Discord.exe,0.6333333333333333,403.109375,2025-07-24 15:51:29
18104,SearchProtocolHost.exe,0.0,15.03125,2025-07-24 15:51:29
18140,fsnotifier.exe,0.0,2.5859375,2025-07-24 15:51:29
18204,conhost.exe,0.0,7.82421875,2025-07-24 15:51:29
18244,adb.exe,0.0,9.3515625,2025-07-24 15:51:29
18428,cmd.exe,0.0,3.7890625,2025-07-24 15:51:29
18500,msedgewebview2.exe,0.0,52.1796875,2025-07-24 15:51:29
18736,conhost.exe,0.0,6.05859375,2025-07-24 15:51:29
18980,chrome.exe,0.0,158.953125,2025-07-24 15:51:29
19052,browser_assistant.exe,0.0,20.1484375,2025-07-24 15:51:29
19072,chrome.exe,0.0,571.828125,2025-07-24 15:51:29
19100,unsecapp.exe,0.0,7.109375,2025-07-24 15:51:29
19184,Discord.exe,0.0,80.8046875,2025-07-24 15:51:29
19248,msedge.exe,0.0,129.29296875,2025-07-24 15:51:29
19280,python.exe,0.0,54.19140625,2025-07-24 15:51:29
19348,chrome.exe,0.0,20.57421875,2025-07-24 15:51:29
19492,chrome.exe,0.0,250.203125,2025-07-24 15:51:29
19600,steamwebhelper.exe,0.0,81.0234375,2025-07-24 15:51:29
19676,svchost.exe,0.0,12.83984375,2025-07-24 15:51:29
19736,DiscordPTB.exe,0.0,81.59375,2025-07-24 15:51:29
19760,SearchFilterHost.exe,0.0,8.86328125,2025-07-24 15:51:29
19792,chrome.exe,0.0,199.1875,2025-07-24 15:51:29
